,bike_price,km_driven,make_year,bike_name,bike_model,bike_address,state
0,"₹ 45,000","34,361 km",2019.0,Bajaj,Pulsar,"Alapati Doctor Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
1,"₹ 2,00,000","9,000 km",2019.0,KTM,390 Duke ABS,"MVP Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
2,"₹ 1,35,000","17,000 km",2019.0,KTM,Others,"NAD, Visakhapatnam, Andhra Pradesh",AndhraPradesh
3,"₹ 1,10,000","28,000 km",1992.0,Royal Enfield,Bullet,"Vajiapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
4,"₹ 50,000","51,400 km",2015.0,Bajaj,Avenger,"Dasanna Pet, Vizianagaram, Andhra Pradesh",AndhraPradesh
5,"₹ 50,000","35,000 km",2012.0,Yamaha,FZ,"Naidupet, Guntur, Andhra Pradesh",AndhraPradesh
6,"₹ 85,000","25,000 km",2020.0,Honda,Others,"Gollapalem, Phirangipuram, Andhra Pradesh",AndhraPradesh
7,"₹ 55,000","390,690 km",2018.0,Bajaj,CT 100,"Ambedkar Nagar, Adoni, Andhra Pradesh",AndhraPradesh
8,"₹ 55,000","45,000 km",2017.0,Yamaha,FZ,"Harnathapuram, Nellore, Andhra Pradesh",AndhraPradesh
9,"₹ 1,26,000","27,000 km",2013.0,Royal Enfield,Bullet,"Kolavennu, Vijayawada, Andhra Pradesh",AndhraPradesh
10,"₹ 3,00,000","3,458 km",2020.0,Royal Enfield,Continental GT,"Kothagudem, Gundugolanu, Andhra Pradesh",AndhraPradesh
11,"₹ 1,10,000","7,000 km",2021.0,Bajaj,Pulsar,"Gurrampalem, Chodavaram, Andhra Pradesh",AndhraPradesh
12,"₹ 85,000","18,888 km",2019.0,Bajaj,Pulsar,"Bhavanipuram, Vijayawada, Andhra Pradesh",AndhraPradesh
13,"₹ 72,000","9,500 km",2020.0,Hero,Passion,"Ponnapuram, Nandyal, Andhra Pradesh",AndhraPradesh
14,"₹ 1,60,000","10,357 km",2021.0,Yamaha,Others,"Santha, Gajapathinagaram, Andhra Pradesh",AndhraPradesh
15,"₹ 70,000","47,000 km",2019.0,Honda,Others,"Suryaraopeta, Kakinada, Andhra Pradesh",AndhraPradesh
